date_30,rf_gross_29d,date_60,rf_gross_59d,date_90,rf_gross_89d,date_180,rf_gross_179d
20020918,1.0014652682247192,20020918,1.0029680543269617,20020918,1.00444326919269,20020918,1.0089168222844433
20021016,1.0014662923359077,20021023,1.0029495956592012,20021016,1.004421802617783,20021016,1.008939717430669
20021120,1.001101499807558,20021120,1.002286105306193,20021120,1.0034722712553237,20021113,1.0069584410712076
20021218,1.0011259933579904,20021224,1.0022936262496593,20021218,1.003396103538795,20021218,1.0069142513475904
20030122,1.0010887433608078,20030122,1.0021846004715398,20030115,1.0033597426269516,20030115,1.0067552389200585
20030219,1.0010773499249463,20030219,1.0021750190796925,20030212,1.0032558310389432,20030212,1.0064777118097494
20030319,1.0010450748157966,20030319,1.002097592752434,20030319,1.0031267593614352,20030319,1.0062698687046536
20030416,1.001069252494424,20030423,1.002146104021264,20030416,1.0032319893813064,20030416,1.0064820822053437
20030521,1.0010576382457932,20030521,1.002068116232299,20030514,1.0030804854512831,20030521,1.0058393431364516
20030618,1.0009087921528395,20030618,1.001742048443262,20030618,1.00254808177599,20030618,1.005003282591742
20030716,1.0008869600618457,20030723,1.0018023406573742,20030716,1.0027125566338724,20030716,1.0055256127491987
20030820,1.0008903905274742,20030820,1.0018492181349152,20030820,1.002834783644525,20030820,1.0059507313156038
20030917,1.000897374783595,20030924,1.0018719262707652,20030917,1.0028372243397268,20030917,1.0058399756556704
20031022,1.0008968781887795,20031022,1.001880437759669,20031015,1.0028518472916166,20031015,1.0060081492566348
20031119,1.0008966932914123,20031119,1.0018840858486522,20031119,1.0029021502213866,20031119,1.0062578804204785
20031217,1.0009159551898807,20031224,1.0019020085592658,20031217,1.0029049193283273,20031217,1.0061242258626586
20040121,1.000881922521333,20040121,1.0018318594568156,20040114,1.002798294686235,20040114,1.0058162357509597
20040218,1.0008761221431959,20040218,1.0018208006390497,20040218,1.0027848166684898,20040218,1.0058810282438562
20040317,1.0008755922488315,20040324,1.0018041702951626,20040317,1.0027512200445854,20040317,1.0057426158210276
